Symbol,Timeframe,DateTime,Open,High,Low,Close,Volume,TickVolume,Spread,LWMA_15,LWMA_60,LWMA_200,STOCH_K,STOCH_D
DE40,H1,14/01/2025 20:00,20259.3,20297.3,20258.3,20288.8,0,1708,80,20267.77667,20223.58306,20234.44274,51.59033079,33.4605598
DE40,H1,14/01/2025 21:00,20288.3,20296.8,20241.8,20245.8,0,2015,80,20265.56833,20223.97601,20235.19241,24.23664122,36.32315522
DE40,H1,14/01/2025 22:00,20246.3,20269.8,20222.8,20266.3,0,3475,80,20265.9075,20225.08885,20236.12596,37.27735369,37.7014419
DE40,H1,14/01/2025 23:00,20264.7,20306.1,20260.8,20300.2,0,3104,400,20270.33167,20227.34863,20237.37804,56.48957633,39.33452375
DE40,H1,15/01/2025 1:00,20289.5,20293,20269.2,20278,0,960,400,20271.5,20228.87536,20238.38909,38.84588318,44.20427107
DE40,H1,15/01/2025 2:00,20278.2,20292.1,20271.6,20286.6,0,436,200,20273.25333,20230.7029,20239.46542,44.89795918,46.7444729
DE40,H1,15/01/2025 3:00,20288.6,20305.6,20285.1,20301.6,0,243,200,20276.675,20233.04869,20240.67072,55.4539057,46.39924935
DE40,H1,15/01/2025 4:00,20301.1,20302.6,20284.1,20286.1,0,196,200,20277.825,20234.90399,20241.70295,44.5460943,48.29931973
DE40,H1,15/01/2025 5:00,20285.6,20286.1,20271.1,20271.6,0,142,200,20277.30333,20236.31989,20242.57247,34.34201267,44.78067089
DE40,H1,15/01/2025 6:00,20271.1,20282.6,20268.1,20282.6,0,117,200,20278.31417,20238.16224,20243.53474,66.00441501,48.29750733
DE40,H1,15/01/2025 7:00,20281.1,20281.1,20266.1,20268.6,0,193,200,20277.69417,20239.60699,20244.34071,54.9819928,51.77614016
DE40,H1,15/01/2025 8:00,20268.1,20287.1,20268.1,20283.1,0,232,200,20279.13083,20241.55087,20245.27335,72.38895558,64.45845446
DE40,H1,15/01/2025 9:00,20281.1,20313.8,20278.6,20313.8,0,914,50,20284.07833,20244.51902,20246.49041,100,75.79031613
DE40,H1,15/01/2025 10:00,20313.8,20356.3,20286.8,20341.3,0,3164,50,20292.03083,20248.3523,20247.96088,88.76404494,87.05100018
DE40,H1,15/01/2025 11:00,20340.3,20379.8,20337.8,20366.7,0,2116,50,20302.25,20252.94869,20249.66287,91.65605096,93.4733653
DE40,H1,15/01/2025 12:00,20367.2,20404.2,20345.2,20398.2,0,1876,50,20315.51583,20258.52656,20251.65707,96.6923925,92.37082947
DE40,H1,15/01/2025 13:00,20399.2,20459.7,20396.7,20449.7,0,1933,50,20334.3075,20265.74273,20254.14227,94.97234791,94.44026379
